Date,Player,Opponent,Outcome,Game URL
2023-02-20,xensprinkles,euratoole,loss,https://www.chess.com/game/daily/478868569
2023-02-20,euratoole,xensprinkles,win,https://www.chess.com/game/daily/478868569
2023-03-27,xensprinkles,euratoole,draw,https://www.chess.com/game/daily/491994587
2023-03-27,euratoole,xensprinkles,draw,https://www.chess.com/game/daily/491994587
2023-03-29,xensprinkles,euratoole,loss,https://www.chess.com/game/daily/495179209
2023-03-29,euratoole,xensprinkles,win,https://www.chess.com/game/daily/495179209
2023-03-31,xensprinkles,euratoole,win,https://www.chess.com/game/daily/496679201
2023-03-31,euratoole,xensprinkles,loss,https://www.chess.com/game/daily/496679201
2023-04-04,xensprinkles,euratoole,loss,https://www.chess.com/game/daily/497692025
2023-04-04,euratoole,xensprinkles,win,https://www.chess.com/game/daily/497692025
2023-04-05,xensprinkles,euratoole,loss,https://www.chess.com/game/daily/499058601
2023-04-05,euratoole,xensprinkles,win,https://www.chess.com/game/daily/499058601
2023-04-10,xensprinkles,euratoole,loss,https://www.chess.com/game/daily/499528389
2023-04-10,euratoole,xensprinkles,win,https://www.chess.com/game/daily/499528389
2023-04-10,xensprinkles,euratoole,loss,https://www.chess.com/game/daily/499434985
2023-04-10,euratoole,xensprinkles,win,https://www.chess.com/game/daily/499434985
2023-04-25,xensprinkles,euratoole,loss,https://www.chess.com/game/daily/505809401
2023-04-25,euratoole,xensprinkles,win,https://www.chess.com/game/daily/505809401
2023-05-03,xensprinkles,euratoole,loss,https://www.chess.com/game/daily/508539319
2023-05-03,euratoole,xensprinkles,win,https://www.chess.com/game/daily/508539319
2023-05-07,xensprinkles,euratoole,win,https://www.chess.com/game/daily/512130123
2023-05-07,euratoole,xensprinkles,loss,https://www.chess.com/game/daily/512130123
2023-05-13,xensprinkles,euratoole,loss,https://www.chess.com/game/daily/514253373
2023-05-13,euratoole,xensprinkles,win,https://www.chess.com/game/daily/514253373
2023-05-19,xensprinkles,euratoole,win,https://www.chess.com/game/daily/517959149
2023-05-19,euratoole,xensprinkles,loss,https://www.chess.com/game/daily/517959149
2023-05-23,xensprinkles,euratoole,loss,https://www.chess.com/game/daily/519562263
2023-05-23,euratoole,xensprinkles,win,https://www.chess.com/game/daily/519562263
2023-05-27,xensprinkles,euratoole,win,https://www.chess.com/game/daily/521291853
2023-05-27,euratoole,xensprinkles,loss,https://www.chess.com/game/daily/521291853
2023-06-01,xensprinkles,euratoole,win,https://www.chess.com/game/daily/522615891
2023-06-01,euratoole,xensprinkles,loss,https://www.chess.com/game/daily/522615891
2023-06-05,xensprinkles,euratoole,win,https://www.chess.com/game/daily/524456197
2023-06-05,euratoole,xensprinkles,loss,https://www.chess.com/game/daily/524456197
2023-06-08,xensprinkles,euratoole,win,https://www.chess.com/game/daily/526036815
2023-06-08,euratoole,xensprinkles,loss,https://www.chess.com/game/daily/526036815
2023-06-13,xensprinkles,euratoole,loss,https://www.chess.com/game/daily/527272761
2023-06-13,euratoole,xensprinkles,win,https://www.chess.com/game/daily/527272761
2023-06-14,xensprinkles,euratoole,loss,https://www.chess.com/game/daily/528992587
2023-06-14,euratoole,xensprinkles,win,https://www.chess.com/game/daily/528992587
2023-06-17,xensprinkles,euratoole,win,https://www.chess.com/game/daily/529364549
2023-06-17,euratoole,xensprinkles,loss,https://www.chess.com/game/daily/529364549
2023-06-20,xensprinkles,euratoole,win,https://www.chess.com/game/daily/530554711
2023-06-20,euratoole,xensprinkles,loss,https://www.chess.com/game/daily/530554711
2024-02-25,xensprinkles,euratoole,loss,https://www.chess.com/game/daily/626232369
2024-02-25,euratoole,xensprinkles,win,https://www.chess.com/game/daily/626232369
2024-03-02,xensprinkles,euratoole,loss,https://www.chess.com/game/daily/628338721
2024-03-02,euratoole,xensprinkles,win,https://www.chess.com/game/daily/628338721
2024-03-05,xensprinkles,euratoole,loss,https://www.chess.com/game/daily/630121627
2024-03-05,euratoole,xensprinkles,win,https://www.chess.com/game/daily/630121627
2024-03-06,xensprinkles,euratoole,win,https://www.chess.com/game/daily/630868511
2024-03-06,euratoole,xensprinkles,loss,https://www.chess.com/game/daily/630868511
2024-03-10,xensprinkles,euratoole,loss,https://www.chess.com/game/daily/631424115
2024-03-10,euratoole,xensprinkles,win,https://www.chess.com/game/daily/631424115
2024-03-12,xensprinkles,euratoole,win,https://www.chess.com/game/daily/632806355
2024-03-12,euratoole,xensprinkles,loss,https://www.chess.com/game/daily/632806355
2024-03-14,xensprinkles,euratoole,loss,https://www.chess.com/game/daily/633207761
2024-03-14,euratoole,xensprinkles,win,https://www.chess.com/game/daily/633207761
2024-03-16,xensprinkles,euratoole,loss,https://www.chess.com/game/daily/634051769
2024-03-16,euratoole,xensprinkles,win,https://www.chess.com/game/daily/634051769
2024-03-19,xensprinkles,euratoole,loss,https://www.chess.com/game/daily/635203683
2024-03-19,euratoole,xensprinkles,win,https://www.chess.com/game/daily/635203683
2024-03-20,xensprinkles,euratoole,win,https://www.chess.com/game/daily/636157181
2024-03-20,euratoole,xensprinkles,loss,https://www.chess.com/game/daily/636157181
2024-03-25,xensprinkles,euratoole,loss,https://www.chess.com/game/daily/637502447
2024-03-25,euratoole,xensprinkles,win,https://www.chess.com/game/daily/637502447
2024-03-28,xensprinkles,euratoole,win,https://www.chess.com/game/daily/638675675
2024-03-28,euratoole,xensprinkles,loss,https://www.chess.com/game/daily/638675675
2024-03-30,xensprinkles,euratoole,loss,https://www.chess.com/game/daily/639960735
2024-03-30,euratoole,xensprinkles,win,https://www.chess.com/game/daily/639960735
2024-04-01,xensprinkles,euratoole,loss,https://www.chess.com/game/daily/640579759
2024-04-01,euratoole,xensprinkles,win,https://www.chess.com/game/daily/640579759
2024-04-12,xensprinkles,euratoole,loss,https://www.chess.com/game/daily/644787213
2024-04-12,euratoole,xensprinkles,win,https://www.chess.com/game/daily/644787213
2024-07-13,xensprinkles,euratoole,loss,https://www.chess.com/game/daily/677671281
2024-07-13,euratoole,xensprinkles,win,https://www.chess.com/game/daily/677671281
2024-07-15,xensprinkles,euratoole,loss,https://www.chess.com/game/daily/679015523
2024-07-15,euratoole,xensprinkles,win,https://www.chess.com/game/daily/679015523
2024-07-16,xensprinkles,euratoole,loss,https://www.chess.com/game/daily/679724965
2024-07-16,euratoole,xensprinkles,win,https://www.chess.com/game/daily/679724965
2024-07-18,xensprinkles,euratoole,loss,https://www.chess.com/game/daily/680066243
2024-07-18,euratoole,xensprinkles,win,https://www.chess.com/game/daily/680066243
2024-07-19,xensprinkles,euratoole,loss,https://www.chess.com/game/daily/680434391
2024-07-19,euratoole,xensprinkles,win,https://www.chess.com/game/daily/680434391
2024-07-25,xensprinkles,euratoole,loss,https://www.chess.com/game/daily/682306357
2024-07-25,euratoole,xensprinkles,win,https://www.chess.com/game/daily/682306357
2025-01-15,jcorr92,euratoole,loss,https://www.chess.com/game/daily/757124241
2025-01-15,euratoole,jcorr92,win,https://www.chess.com/game/daily/757124241
2025-03-22,xensprinkles,euratoole,win,https://www.chess.com/game/daily/790122069
2025-03-22,euratoole,xensprinkles,loss,https://www.chess.com/game/daily/790122069
2025-03-25,xensprinkles,euratoole,loss,https://www.chess.com/game/daily/791261929
2025-03-25,euratoole,xensprinkles,win,https://www.chess.com/game/daily/791261929
2025-03-27,xensprinkles,euratoole,loss,https://www.chess.com/game/daily/792809023
2025-03-27,euratoole,xensprinkles,win,https://www.chess.com/game/daily/792809023
2025-03-29,xensprinkles,euratoole,win,https://www.chess.com/game/daily/793424873
2025-03-29,euratoole,xensprinkles,loss,https://www.chess.com/game/daily/793424873
2025-03-30,xensprinkles,euratoole,loss,https://www.chess.com/game/daily/794151379
2025-03-30,euratoole,xensprinkles,win,https://www.chess.com/game/daily/794151379
2025-04-01,xensprinkles,euratoole,loss,https://www.chess.com/game/daily/794949297
2025-04-01,euratoole,xensprinkles,win,https://www.chess.com/game/daily/794949297
2025-04-02,xensprinkles,euratoole,loss,https://www.chess.com/game/daily/795379053
2025-04-02,euratoole,xensprinkles,win,https://www.chess.com/game/daily/795379053
2025-04-06,xensprinkles,euratoole,loss,https://www.chess.com/game/daily/796324349
2025-04-06,euratoole,xensprinkles,win,https://www.chess.com/game/daily/796324349
2025-04-07,xensprinkles,euratoole,loss,https://www.chess.com/game/daily/798069309
2025-04-07,euratoole,xensprinkles,win,https://www.chess.com/game/daily/798069309
2025-04-09,xensprinkles,euratoole,loss,https://www.chess.com/game/daily/798500451
2025-04-09,euratoole,xensprinkles,win,https://www.chess.com/game/daily/798500451
2025-04-11,xensprinkles,euratoole,loss,https://www.chess.com/game/daily/799463547
2025-04-11,euratoole,xensprinkles,win,https://www.chess.com/game/daily/799463547
2025-04-17,xensprinkles,euratoole,win,https://www.chess.com/game/daily/801133007
2025-04-17,euratoole,xensprinkles,loss,https://www.chess.com/game/daily/801133007
2025-04-18,xensprinkles,euratoole,win,https://www.chess.com/game/daily/802507740
2025-04-18,euratoole,xensprinkles,loss,https://www.chess.com/game/daily/802507740
2025-04-21,xensprinkles,euratoole,win,https://www.chess.com/game/daily/803092512
2025-04-21,euratoole,xensprinkles,loss,https://www.chess.com/game/daily/803092512
2025-04-22,xensprinkles,euratoole,loss,https://www.chess.com/game/daily/804404358
2025-04-22,euratoole,xensprinkles,win,https://www.chess.com/game/daily/804404358
2025-04-24,xensprinkles,euratoole,win,https://www.chess.com/game/daily/805082336
2025-04-24,euratoole,xensprinkles,loss,https://www.chess.com/game/daily/805082336
2025-04-26,xensprinkles,euratoole,loss,https://www.chess.com/game/daily/805561228
2025-04-26,euratoole,xensprinkles,win,https://www.chess.com/game/daily/805561228
2025-04-28,xensprinkles,euratoole,loss,https://www.chess.com/game/daily/806872332
2025-04-28,euratoole,xensprinkles,win,https://www.chess.com/game/daily/806872332
2025-05-01,xensprinkles,euratoole,win,https://www.chess.com/game/daily/807869734
2025-05-01,euratoole,xensprinkles,loss,https://www.chess.com/game/daily/807869734
2025-05-01,xensprinkles,euratoole,win,https://www.chess.com/game/daily/808559172
2025-05-01,euratoole,xensprinkles,loss,https://www.chess.com/game/daily/808559172
2025-05-06,jcorr92,euratoole,win,https://www.chess.com/game/daily/809935682
2025-05-06,euratoole,jcorr92,loss,https://www.chess.com/game/daily/809935682
2025-05-07,jcorr92,xensprinkles,win,https://www.chess.com/game/daily/810682576
2025-05-07,xensprinkles,jcorr92,loss,https://www.chess.com/game/daily/810682576
2025-05-08,xensprinkles,euratoole,win,https://www.chess.com/game/daily/811100150
2025-05-08,euratoole,xensprinkles,loss,https://www.chess.com/game/daily/811100150
2025-05-08,jcorr92,euratoole,win,https://www.chess.com/game/daily/811100362
2025-05-08,euratoole,jcorr92,loss,https://www.chess.com/game/daily/811100362
2025-05-09,xensprinkles,euratoole,win,https://www.chess.com/game/daily/811560614
2025-05-09,euratoole,xensprinkles,loss,https://www.chess.com/game/daily/811560614
2025-05-11,xensprinkles,euratoole,loss,https://www.chess.com/game/daily/812146984
2025-05-11,euratoole,xensprinkles,win,https://www.chess.com/game/daily/812146984
2025-05-12,jcorr92,euratoole,win,https://www.chess.com/game/daily/811994202
2025-05-12,euratoole,jcorr92,loss,https://www.chess.com/game/daily/811994202
2025-05-12,jcorr92,xensprinkles,win,https://www.chess.com/game/daily/811493016
2025-05-12,xensprinkles,jcorr92,loss,https://www.chess.com/game/daily/811493016
2025-05-13,xensprinkles,euratoole,loss,https://www.chess.com/game/daily/812770864
2025-05-13,euratoole,xensprinkles,win,https://www.chess.com/game/daily/812770864
2025-05-14,xensprinkles,euratoole,win,https://www.chess.com/game/daily/813968680
2025-05-14,euratoole,xensprinkles,loss,https://www.chess.com/game/daily/813968680
2025-05-15,xensprinkles,euratoole,loss,https://www.chess.com/game/daily/814088192
2025-05-15,euratoole,xensprinkles,win,https://www.chess.com/game/daily/814088192
2025-05-18,xensprinkles,euratoole,loss,https://www.chess.com/game/daily/814915558
2025-05-18,euratoole,xensprinkles,win,https://www.chess.com/game/daily/814915558
2025-05-20,xensprinkles,euratoole,win,https://www.chess.com/game/daily/815995702
2025-05-20,euratoole,xensprinkles,loss,https://www.chess.com/game/daily/815995702
2025-05-21,jcorr92,xensprinkles,win,https://www.chess.com/game/daily/813992080
2025-05-21,xensprinkles,jcorr92,loss,https://www.chess.com/game/daily/813992080
2025-05-22,xensprinkles,euratoole,loss,https://www.chess.com/game/daily/816455750
2025-05-22,euratoole,xensprinkles,win,https://www.chess.com/game/daily/816455750
2025-05-27,xensprinkles,teamoth,loss,https://www.chess.com/game/daily/818725612
2025-05-27,teamoth,xensprinkles,win,https://www.chess.com/game/daily/818725612
2025-05-31,jcorr92,euratoole,win,https://www.chess.com/game/daily/816858286
2025-05-31,euratoole,jcorr92,loss,https://www.chess.com/game/daily/816858286
2025-05-31,xensprinkles,euratoole,loss,https://www.chess.com/game/daily/819521176
2025-05-31,euratoole,xensprinkles,win,https://www.chess.com/game/daily/819521176
2025-06-01,xensprinkles,teamoth,loss,https://www.chess.com/game/daily/819528776
2025-06-01,teamoth,xensprinkles,win,https://www.chess.com/game/daily/819528776
2025-06-01,jcorr92,xensprinkles,loss,https://www.chess.com/game/daily/819503790
2025-06-01,xensprinkles,jcorr92,win,https://www.chess.com/game/daily/819503790
2025-06-02,jcorr92,teamoth,win,https://www.chess.com/game/daily/818199188
2025-06-02,teamoth,jcorr92,loss,https://www.chess.com/game/daily/818199188
2025-06-02,jcorr92,teamoth,loss,https://www.chess.com/game/daily/822094686
2025-06-02,teamoth,jcorr92,win,https://www.chess.com/game/daily/822094686
2025-06-04,xensprinkles,teamoth,loss,https://www.chess.com/game/daily/822036538
2025-06-04,teamoth,xensprinkles,win,https://www.chess.com/game/daily/822036538
2025-06-04,xensprinkles,euratoole,loss,https://www.chess.com/game/daily/822040012
2025-06-04,euratoole,xensprinkles,win,https://www.chess.com/game/daily/822040012
2025-06-04,jcorr92,xensprinkles,win,https://www.chess.com/game/daily/822035446
2025-06-04,xensprinkles,jcorr92,loss,https://www.chess.com/game/daily/822035446
2025-06-05,euratoole,teamoth,win,https://www.chess.com/game/daily/822196620
2025-06-05,teamoth,euratoole,loss,https://www.chess.com/game/daily/822196620
2025-06-06,jcorr92,euratoole,win,https://www.chess.com/game/daily/822967202
2025-06-06,euratoole,jcorr92,loss,https://www.chess.com/game/daily/822967202
2025-06-08,euratoole,teamoth,win,https://www.chess.com/game/daily/823264372
2025-06-08,teamoth,euratoole,loss,https://www.chess.com/game/daily/823264372
2025-06-09,jcorr92,teamoth,win,https://www.chess.com/game/daily/822529238
2025-06-09,teamoth,jcorr92,loss,https://www.chess.com/game/daily/822529238
2025-06-11,jcorr92,euratoole,win,https://www.chess.com/game/daily/825446004
2025-06-11,euratoole,jcorr92,loss,https://www.chess.com/game/daily/825446004
2025-06-11,euratoole,teamoth,win,https://www.chess.com/game/daily/825052738
2025-06-11,teamoth,euratoole,loss,https://www.chess.com/game/daily/825052738
2025-06-17,xensprinkles,euratoole,loss,https://www.chess.com/game/daily/827062598
2025-06-17,euratoole,xensprinkles,win,https://www.chess.com/game/daily/827062598
2025-06-17,xensprinkles,teamoth,loss,https://www.chess.com/game/daily/826572742
2025-06-17,teamoth,xensprinkles,win,https://www.chess.com/game/daily/826572742
